                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r24.08.1"          1.0000000000000000E+001          8.9000000000000004E+000          2.2000000000000002E+000                       "gfortran"                         "13.3.0"           "aarch64-macos-24.7.1"                       "20250323" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                              50          5.3421977029017797E+006          2.1996181370873926E+000          1.8959341684148129E+001          2.0534885856013923E+002          2.3072905456195423E+002          7.3761167478180747E+000          6.9936615707772880E+000         -3.9373437928172456E-001         -4.1566286863466190E-001          1.0000000000000000E+001          8.9000000000000004E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          5.3857161477476662E+053         -1.8489114832809932E+035          0.0000000000000000E+000         -1.8489114832809932E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              55          6.6760338429961130E+006          2.1995227766071537E+000          1.8958793714794918E+001          2.0535182615580567E+002          2.3073238893910749E+002          7.3759035607786281E+000          6.9934594375876786E+000         -3.7358771514619243E-001         -4.0069127043900166E-001          1.0000000000000000E+001          8.9000000000000004E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          5.3856383172837265E+053         -1.8491035290321337E+035          0.0000000000000000E+000         -1.8491035290321337E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              60          7.8342050757131502E+006          2.1994399693086426E+000          1.8958317873290227E+001          2.0535440323857918E+002          2.3073528453772940E+002          7.3757184350210698E+000          6.9932839106890876E+000         -3.5439397371084569E-001         -3.8693071343233981E-001          1.0000000000000000E+001          8.9000000000000004E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          5.3855707305385053E+053         -1.8492707708269251E+035          0.0000000000000000E+000         -1.8492707708269251E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              65          8.8343614133208077E+006          2.1993684555427246E+000          1.8957906923814384E+001          2.0535662895440808E+002          2.3073778534203154E+002          7.3755585554555365E+000          6.9931323209554037E+000         -3.3618419103944885E-001         -3.7430764381691012E-001          1.0000000000000000E+001          8.9000000000000004E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          5.3855123601314549E+053         -1.8494152154902814E+035          0.0000000000000000E+000         -1.8494152154902814E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              70          9.6992338520471733E+006          2.1993066117372249E+000          1.8957551538582422E+001          2.0535855379082591E+002          2.3073994807957970E+002          7.3754202931147299E+000          6.9930012275830178E+000         -3.1894328476295514E-001         -3.6273271933695783E-001          1.0000000000000000E+001          8.9000000000000004E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          5.3854618814436760E+053         -1.8495400951612365E+035          0.0000000000000000E+000         -1.8495400951612365E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              75          1.0450435893066144E+007          2.1992528936798177E+000          1.8957242845232727E+001          2.0536022577873862E+002          2.3074182671768386E+002          7.3753001962134466E+000          6.9928873577634381E+000         -3.0260666446580853E-001         -3.5208225430592260E-001          1.0000000000000000E+001          8.9000000000000004E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          5.3854180344565765E+053         -1.8496485201830035E+035          0.0000000000000000E+000         -1.8496485201830035E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              80          1.1105727779859604E+007          2.1992060322863245E+000          1.8956973551972897E+001          2.0536168439575079E+002          2.3074346561320311E+002          7.3751954278856759E+000          6.9927880217235101E+000         -2.8713899686862154E-001         -3.4229713230379732E-001          1.0000000000000000E+001          8.9000000000000004E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          5.3853797835901325E+053         -1.8497429888520400E+035          0.0000000000000000E+000         -1.8497429888520400E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              85          1.1680459468615508E+007          2.1991649305382635E+000          1.8956737355464846E+001          2.0536296377101303E+002          2.3074490311349780E+002          7.3751035358227615E+000          6.9927008943079576E+000         -2.7249418110888807E-001         -3.3328464371149563E-001          1.0000000000000000E+001          8.9000000000000004E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          5.3853462336181889E+053         -1.8498257353761503E+035          0.0000000000000000E+000         -1.8498257353761503E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              90          1.2187246686165225E+007          2.1991286867357984E+000          1.8956529074548214E+001          2.0536409195931896E+002          2.3074617074080783E+002          7.3750225042984097E+000          6.9926240643068516E+000         -2.5863204359926567E-001         -3.2495870316363995E-001          1.0000000000000000E+001          8.9000000000000004E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          5.3853166486767022E+053         -1.8498986685905071E+035          0.0000000000000000E+000         -1.8498986685905071E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              95          1.2637094585194258E+007          2.1990965142034558E+000          1.8956344188890093E+001          2.0536509343888537E+002          2.3074729599874760E+002          7.3749505746807031E+000          6.9925558642741859E+000         -2.4550431150118773E-001         -3.1725233688477716E-001          1.0000000000000000E+001          8.9000000000000004E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          5.3852903867424467E+053         -1.8499633041247918E+035          0.0000000000000000E+000         -1.8499633041247918E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             100          1.3038225388073275E+007          2.1990678251817282E+000          1.8956179321136670E+001          2.0536598649880514E+002          2.3074829943685972E+002          7.3748864330128407E+000          6.9924950483824411E+000         -2.3305125811108648E-001         -3.1011387101002691E-001          1.0000000000000000E+001          8.9000000000000004E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          5.3852669681273051E+053         -1.8500208978499396E+035          0.0000000000000000E+000         -1.8500208978499396E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             105          1.3397352454997266E+007          2.1990421397451088E+000          1.8956031713535310E+001          2.0536678607337106E+002          2.3074919783524837E+002          7.3748290063933597E+000          6.9924405993606156E+000         -2.2125910523091930E-001         -3.0348520880391833E-001          1.0000000000000000E+001          8.9000000000000004E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          5.3852460011414529E+053         -1.8500724248390674E+035          0.0000000000000000E+000         -1.8500724248390674E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             110          1.3720187711715892E+007          2.1990190495331907E+000          1.8955899019532634E+001          2.0536750487054184E+002          2.3075000547251895E+002          7.3747773818975411E+000          6.9923916516195659E+000         -2.1007284395373765E-001         -2.9732403582320305E-001          1.0000000000000000E+001          8.9000000000000004E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          5.3852271524945245E+053         -1.8501187349211740E+035          0.0000000000000000E+000         -1.8501187349211740E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             115          1.4011609587029776E+007          2.1989982057549566E+000          1.8955779234855708E+001          2.0536815374498411E+002          2.3075073454492599E+002          7.3747307797646044E+000          6.9923474658294831E+000         -1.9947113653493379E-001         -2.9159359647518651E-001          1.0000000000000000E+001          8.9000000000000004E+000         -9.6779224705752455E+001         -9.6779224705752455E+001         -9.6779224705752455E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          5.3852101375085027E+053         -1.8501604893190633E+035          0.0000000000000000E+000         -1.8501604893190633E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             120          1.4275319679067653E+007          2.1989793437579364E+000          1.8955670838719794E+001          2.0536874093292042E+002          2.3075139430665217E+002          7.3746886083344538E+000          6.9923074810081340E+000         -1.8941885330056366E-001         -2.8626133766883316E-001          1.0000000000000000E+001          8.9000000000000004E+000         -9.0359542448651155E+001         -9.0359542448651155E+001         -9.0359542448651155E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          5.3851947401777666E+053         -1.8501982417670022E+035          0.0000000000000000E+000         -1.8501982417670022E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
